dp_Pa,U_alpha_1e-05,U_alpha_0.0001,U_alpha_0.001,U_alpha_0.003,U_alpha_0.01,U_alpha_0.03
2.774845014871e+03,1.425688445088e+03,1.042688525365e+03,4.387963311377e+02,2.611439394040e+02,1.450818679036e+02,8.488464358655e+01
2.845051618054e+03,1.425715313212e+03,1.042793634760e+03,4.388746066948e+02,2.611933403206e+02,1.451099064834e+02,8.490115037413e+01
2.917034524815e+03,1.425742839757e+03,1.042901346737e+03,4.389548393117e+02,2.612439780265e+02,1.451386473873e+02,8.491807069352e+01
2.990838677572e+03,1.425771040315e+03,1.043011724286e+03,4.390370773228e+02,2.612958831521e+02,1.451681080273e+02,8.493541480016e+01
3.066510155832e+03,1.425799930817e+03,1.043124831850e+03,4.391213702260e+02,2.613490870695e+02,1.451983062380e+02,8.495319319857e+01
3.144096204967e+03,1.425829527545e+03,1.043240735350e+03,4.392077687093e+02,2.614036219098e+02,1.452292602865e+02,8.497141664814e+01
3.223645265707e+03,1.425859847133e+03,1.043359502221e+03,4.392963246780e+02,2.614595205805e+02,1.452609888823e+02,8.499009616906e+01
3.305207004383e+03,1.425890906577e+03,1.043481201438e+03,4.393870912825e+02,2.615168167834e+02,1.452935111876e+02,8.500924304833e+01
3.388832343942e+03,1.425922723237e+03,1.043605903549e+03,4.394801229458e+02,2.615755450326e+02,1.453268468278e+02,8.502886884592e+01
3.474573495736e+03,1.425955314849e+03,1.043733680707e+03,4.395754753926e+02,2.616357406735e+02,1.453610159019e+02,8.504898540108e+01
3.562483992119e+03,1.425988699524e+03,1.043864606699e+03,4.396732056784e+02,2.616974399012e+02,1.453960389935e+02,8.506960483870e+01
3.652618719875e+03,1.426022895762e+03,1.043998756983e+03,4.397733722193e+02,2.617606797805e+02,1.454319371820e+02,8.509073957594e+01
3.745033954480e+03,1.426057922452e+03,1.044136208714e+03,4.398760348222e+02,2.618254982648e+02,1.454687320538e+02,8.511240232881e+01
3.839787395245e+03,1.426093798880e+03,1.044277040783e+03,4.399812547161e+02,2.618919342169e+02,1.455064457138e+02,8.513460611907e+01
3.936938201333e+03,1.426130544739e+03,1.044421333845e+03,4.400890945830e+02,2.619600274292e+02,1.455451007971e+02,8.515736428112e+01
4.036547028699e+03,1.426168180130e+03,1.044569170358e+03,4.401996185906e+02,2.620298186444e+02,1.455847204812e+02,8.518069046912e+01
4.138676067962e+03,1.426206725570e+03,1.044720634612e+03,4.403128924243e+02,2.621013495772e+02,1.456253284982e+02,8.520459866420e+01
4.243389083229e+03,1.426246202000e+03,1.044875812767e+03,4.404289833212e+02,2.621746629356e+02,1.456669491470e+02,8.522910318183e+01
4.350751451908e+03,1.426286630789e+03,1.045034792884e+03,4.405479601030e+02,2.622498024434e+02,1.457096073065e+02,8.525421867934e+01
4.460830205530e+03,1.426328033740e+03,1.045197664962e+03,4.406698932116e+02,2.623268128624e+02,1.457533284480e+02,8.527996016358e+01
4.573694071593e+03,1.426370433099e+03,1.045364520973e+03,4.407948547429e+02,2.624057400155e+02,1.457981386488e+02,8.530634299870e+01
4.689413516478e+03,1.426413851556e+03,1.045535454897e+03,4.409229184835e+02,2.624866308100e+02,1.458440646055e+02,8.533338291414e+01
4.808060789442e+03,1.426458312255e+03,1.045710562757e+03,4.410541599462e+02,2.625695332615e+02,1.458911336477e+02,8.536109601270e+01
4.929709967725e+03,1.426503838799e+03,1.045889942655e+03,4.411886564073e+02,2.626544965180e+02,1.459393737521e+02,8.538949877881e+01
5.054437002804e+03,1.426550455254e+03,1.046073694809e+03,4.413264869441e+02,2.627415708846e+02,1.459888135564e+02,8.541860808691e+01
5.182319767811e+03,1.426598186157e+03,1.046261921585e+03,4.414677324724e+02,2.628308078486e+02,1.460394823740e+02,8.544844121006e+01
5.313438106152e+03,1.426647056519e+03,1.046454727539e+03,4.416124757861e+02,2.629222601050e+02,1.460914102090e+02,8.547901582861e+01
