alpha,d_c_R2,d_c_R5,d_c_R10
9.923286228833e-03,7.560594061773e-02,6.759794531731e-02,5.861262720811e-02
1.019438905936e-02,7.508604040829e-02,6.692278805110e-02,5.793462634755e-02
1.047289838236e-02,7.456266569858e-02,6.624946408982e-02,5.726167148553e-02
1.075901654220e-02,7.403593461799e-02,6.557810659304e-02,5.659381191469e-02
1.105295141126e-02,7.350596770970e-02,6.490884563218e-02,5.593109346838e-02
1.135491654098e-02,7.297288779168e-02,6.424180812195e-02,5.527355858564e-02
1.166513131698e-02,7.243681981370e-02,6.357711775852e-02,5.462124637811e-02
1.198382111849e-02,7.189789071043e-02,6.291489496442e-02,5.397419269861e-02
1.231121748204e-02,7.135622925125e-02,6.225525683995e-02,5.333243021116e-02
1.264755826973e-02,7.081196588699e-02,6.159831712111e-02,5.269598846235e-02
1.299308784200e-02,7.026523259412e-02,6.094418614380e-02,5.206489395367e-02
1.334805723521e-02,6.971616271678e-02,6.029297081431e-02,5.143917021483e-02
1.371272434398e-02,6.916489080711e-02,5.964477458575e-02,5.081883787777e-02
1.408735410858e-02,6.861155246415e-02,5.899969744039e-02,5.020391475122e-02
1.447221870741e-02,6.805628417200e-02,5.835783587767e-02,4.959441589562e-02
1.486759775475e-02,6.749922313743e-02,5.771928290775e-02,4.899035369839e-02
1.527377850391e-02,6.694050712742e-02,5.708412805032e-02,4.839173794916e-02
1.569105605590e-02,6.638027430719e-02,5.645245733849e-02,4.779857591507e-02
1.611973357388e-02,6.581866307887e-02,5.582435332768e-02,4.721087241584e-02
1.656012250337e-02,6.525581192145e-02,5.519989510904e-02,4.662862989861e-02
1.701254279853e-02,6.469185923227e-02,5.457915832749e-02,4.605184851231e-02
1.747732315464e-02,6.412694317045e-02,5.396221520385e-02,4.548052618160e-02
1.795480124688e-02,6.356120150266e-02,5.334913456113e-02,4.491465868018e-02
1.844532397568e-02,6.299477145151e-02,5.273998185450e-02,4.435423970334e-02
1.894924771874e-02,6.242778954695e-02,5.213481920496e-02,4.379926093987e-02
1.946693858994e-02,6.186039148102e-02,5.153370543627e-02,4.324971214296e-02
1.999877270535e-02,6.129271196613e-02,5.093669611503e-02,4.270558120031e-02
2.054513645649e-02,6.072488459732e-02,5.034384359377e-02,4.216685420312e-02
2.110642679102e-02,6.015704171857e-02,4.975519705663e-02,4.163351551411e-02
2.168305150117e-02,5.958931429355e-02,4.917080256762e-02,4.110554783440e-02
2.227542952000e-02,5.902183178095e-02,4.859070312112e-02,4.058293226926e-02
2.288399122576e-02,5.845472201463e-02,4.801493869451e-02,4.006564839260e-02
2.350917875457e-02,5.788811108869e-02,4.744354630265e-02,3.955367431028e-02
2.415144632167e-02,5.732212324771e-02,4.687656005412e-02,3.904698672213e-02
2.481126055138e-02,5.675688078225e-02,4.631401120886e-02,3.854556098265e-02
2.548910081613e-02,5.619250392963e-02,4.575592823728e-02,3.804937116041e-02
2.618545958474e-02,5.562911078030e-02,4.520233688046e-02,3.755839009608e-02
2.690084278024e-02,5.506681718958e-02,4.465326021128e-02,3.707258945912e-02
2.763577014736e-02,5.450573669511e-02,4.410871869654e-02,3.659193980307e-02
2.839077563023e-02,5.394598043982e-02,4.356873025955e-02,3.611641061946e-02
2.916640776024e-02,5.338765710050e-02,4.303331034345e-02,3.564597039031e-02
2.996323005457e-02,5.283087282201e-02,4.250247197475e-02,3.518058663929e-02
3.078182142565e-02,5.227573115704e-02,4.197622582721e-02,3.472022598140e-02
3.162277660168e-02,5.172233301139e-02,4.145458028582e-02,3.426485417129e-02
